,OrderDate,Region,Rep,Item,Units,Unit Price,Demand,Supply,Projected Growth,Index
0,4-Jul-14,East,Richard,Pen Set,62,4.99,34.75131444946731,73.32351590471855,54.037415177092925,0.0
1,12-Jul-14,East,Nick,Binder,29,1.99,10.82972988741252,95.93453647533103,53.38213318137178,1.0
2,21-Jul-14,Central,Morgan,Pen Set,55,12.49,2.6971594331547166,93.10221692709995,47.89968818012733,2.0
3,29-Jul-14,East,Susan,Binder,81,19.99,24.962409938230266,13.455831324426292,19.20912063132828,3.0
4,7-Aug-14,Central,Matthew,Pen Set,42,23.95,64.75310003895125,84.98408281395045,74.86859142645085,4.0
5,15-Aug-14,East,Richard,Pencil,35,4.99,28.937066866668772,31.105535152285967,30.02130100947737,5.0
10,27-Sep-14,West,James,Pen,76,1.99,65.39005280131943,30.564956126823716,47.97750446407157,10.0
11,5-Oct-14,Central,Morgan,Binder,28,8.99,54.33778440135174,71.35927739676299,62.848530899057366,11.0
12,14-Oct-14,West,Thomas,Binder,57,19.99,12.644328572005959,83.51166343237988,48.07799600219292,12.0
13,22-Oct-14,East,Richard,Pen,64,8.99,55.35852201852376,59.42484185052865,57.391681934526204,13.0
17,25-Nov-14,Central,Matthew,Pen Set,96,4.99,50.646558726228655,92.16153880111862,71.40404876367364,17.0
18,4-Dec-14,Central,Alex,Binder,94,19.99,72.20590471743222,79.68554020909704,75.94572246326463,18.0
19,12-Dec-14,Central,Smith,Pencil,67,1.29,42.24254013890759,86.14437543953201,64.1934577892198,19.0
20,21-Dec-14,Central,Rachel,Binder,28,4.99,58.278746703800536,62.03438903118163,60.156567867491084,20.0
21,29-Dec-14,East,Susan,Pen Set,74,15.99,15.288211546090524,22.21178337497015,18.749997460530338,21.0
22,6-Jan-15,East,Richard,Pencil,95,1.99,70.95039816068916,85.91797329537788,78.43418572803353,22.0
23,15-Jan-15,Central,Bill,Binder,46,8.99,3.448094264928414,42.394601798506116,22.921348031717265,23.0
24,23-Jan-15,Central,Matthew,Binder,50,19.99,35.87266608157852,93.07648890019833,64.47457749088842,24.0
25,1-Feb-15,Central,Smith,Binder,87,15.0,84.68448094608301,62.35078616300914,73.51763355454608,25.0
26,9-Feb-15,Central,Alex,Pencil,36,4.99,11.867142540054388,72.22157388865091,42.04435821435265,26.0
28,26-Feb-15,Central,Bill,Pen,27,19.99,32.271596894135776,55.808820443625095,44.04020866888044,28.0
30,15-Mar-15,West,James,Pencil,56,2.99,98.32026687018907,91.6647475548935,94.99250721254128,30.0
31,24-Mar-15,Central,Alex,Pen Set,50,4.99,10.286426280173854,94.0574317834876,52.17192903183073,31.0
32,1-Apr-15,East,Richard,Binder,60,4.99,84.42659058656287,67.37710875237156,75.90184966946721,32.0
33,10-Apr-15,Central,Rachel,Pencil,66,1.99,72.01768448766225,40.99120591370837,56.50444520068531,33.0
34,18-Apr-15,Central,Rachel,Pencil,75,1.99,21.640580307363557,52.96432228355036,37.30245129545696,34.0
35,27-Apr-15,East,Nick,Pen,96,4.99,33.56117452608663,40.61452576608523,37.08785014608593,35.0
36,5-May-15,Central,Alex,Pencil,90,4.99,65.16203048865039,23.95739566539874,44.55971307702456,36.0
37,14-May-15,Central,Bill,Pencil,53,1.29,83.47980987067226,88.81206664540832,86.14593825804029,37.0
38,22-May-15,West,Thomas,Pencil,32,1.99,55.54237203954234,89.08706491887042,72.31471847920639,38.0
39,31-May-15,Central,Bill,Binder,80,8.99,3.6345636977493156,90.22434780031551,46.929455749032414,39.0
40,8-Jun-15,East,Richard,Binder,60,8.99,38.78074152478425,44.2053910249892,41.49306627488672,40.0
42,25-Jun-15,Central,Morgan,Pencil,90,4.99,27.20969837905478,87.1658723727904,57.187785375922594,42.0
